,patient,question,l_prompt,n_passages
974,patient_17,4,20066,10000
975,patient_17,5,6304,10
976,patient_17,5,11643,25
977,patient_17,5,30600,10000
978,patient_17,6,6507,10
979,patient_17,6,11829,25
980,patient_17,6,32625,10000
981,patient_17,7,7301,10
982,patient_17,7,10661,25
983,patient_17,7,41604,10000
984,patient_17,8,3804,10
985,patient_17,8,8085,25
986,patient_17,8,51439,10000
987,patient_17,9,5020,10
988,patient_17,9,8831,25
989,patient_17,9,41357,10000
990,patient_17,10,3829,10
991,patient_17,10,11652,25
992,patient_17,10,31640,10000
993,patient_17,11,6481,10
994,patient_17,11,13166,25
995,patient_17,11,59435,10000
996,patient_17,12,6484,10
997,patient_17,12,11888,25
998,patient_17,12,44912,10000
999,patient_17,13,5496,10
1000,patient_17,13,10468,25
1001,patient_17,13,28180,10000
1002,patient_17,14,3705,10
1003,patient_17,14,7257,25
1004,patient_17,14,21709,10000
1005,patient_17,15,3617,10
1006,patient_17,15,7044,25
1007,patient_17,15,27928,10000
1008,patient_17,16,4018,10
1009,patient_17,16,7455,25
1010,patient_17,16,40237,10000
1011,patient_17,17,4897,10
1012,patient_17,17,14816,25
1013,patient_17,17,52080,10000
1014,patient_17,18,9169,10
1015,patient_17,18,13136,25
1016,patient_17,18,39695,10000
1017,patient_17,19,3668,10
1018,patient_17,19,7243,25
1019,patient_17,19,27351,10000
1020,patient_18,0,3915,10
1021,patient_18,0,7625,25
1022,patient_18,0,63065,10000
1023,patient_18,1,4090,10
1024,patient_18,1,8646,25
1025,patient_18,1,20073,10000
1026,patient_18,2,5440,10
1027,patient_18,2,8457,25
1028,patient_18,2,38169,10000
1029,patient_18,3,3378,10
1030,patient_18,3,10318,25
1031,patient_18,3,47119,10000
1032,patient_18,4,8655,10
1033,patient_18,4,10942,25
1034,patient_18,4,10942,10000
1035,patient_18,5,2904,10
1036,patient_18,5,6471,25
1037,patient_18,5,16085,10000
1038,patient_18,6,3827,10
1039,patient_18,6,7802,25
1040,patient_18,6,10762,10000
1041,patient_18,7,4458,10
1042,patient_18,7,13466,25
1043,patient_18,7,34638,10000
1044,patient_18,8,4329,10
1045,patient_18,8,10068,25
1046,patient_18,8,21329,10000
1047,patient_18,9,3632,10
1048,patient_18,9,3632,25
1049,patient_18,9,3632,10000
1050,patient_18,10,3695,10
1051,patient_18,10,12332,25
1052,patient_18,10,51615,10000
1053,patient_18,11,3051,10
1054,patient_18,11,7174,25
1055,patient_18,11,45201,10000
1056,patient_18,12,4028,10
1057,patient_18,12,9416,25
1058,patient_18,12,46138,10000
1059,patient_18,13,3403,10
1060,patient_18,13,6805,25
1061,patient_18,13,22478,10000
1062,patient_18,14,3818,10
1063,patient_18,14,10025,25
1064,patient_18,14,16232,10000
1065,patient_18,15,4669,10
1066,patient_18,15,8090,25
1067,patient_18,15,35934,10000
1068,patient_18,16,4032,10
1069,patient_18,16,9092,25
1070,patient_18,16,14973,10000
1071,patient_18,17,3351,10
1072,patient_18,17,10575,25
1073,patient_18,17,37520,10000
1074,patient_18,18,4440,10
1075,patient_18,18,4440,25
1076,patient_18,18,4440,10000
1077,patient_18,19,4795,10
1078,patient_18,19,8810,25
1079,patient_18,19,24675,10000
1080,patient_19,0,2963,10
1081,patient_19,0,6282,25
1082,patient_19,0,37720,10000
1083,patient_19,1,3765,10
1084,patient_19,1,9743,25
1085,patient_19,1,27967,10000
1086,patient_19,2,3800,10
1087,patient_19,2,5901,25
1088,patient_19,2,5901,10000
1089,patient_19,3,4559,10
1090,patient_19,3,9249,25
1091,patient_19,3,24639,10000
1092,patient_19,4,3752,10
1093,patient_19,4,7987,25
1094,patient_19,4,8817,10000
1095,patient_19,5,3150,10
1096,patient_19,5,7722,25
1097,patient_19,5,11565,10000
1098,patient_19,6,4606,10
1099,patient_19,6,8130,25
1100,patient_19,6,28966,10000
1101,patient_19,7,3039,10
1102,patient_19,7,7287,25
1103,patient_19,7,38724,10000
1104,patient_19,8,2727,10
1105,patient_19,8,5702,25
1106,patient_19,8,5702,10000
1107,patient_19,9,3615,10
1108,patient_19,9,8037,25
1109,patient_19,9,9951,10000
1110,patient_19,10,1933,10
1111,patient_19,10,1933,25
1112,patient_19,10,1933,10000
1113,patient_19,11,6087,10
1114,patient_19,11,13640,25
1115,patient_19,11,54818,10000
1116,patient_19,12,4314,10
1117,patient_19,12,8385,25
1118,patient_19,12,27963,10000
1119,patient_19,13,7526,10
1120,patient_19,13,14207,25
1121,patient_19,13,39765,10000
1122,patient_19,14,6492,10
1123,patient_19,14,11354,25
1124,patient_19,14,31093,10000
1125,patient_19,15,6162,10
1126,patient_19,15,14331,25
1127,patient_19,15,45606,10000
1128,patient_19,16,5178,10
1129,patient_19,16,9972,25
1130,patient_19,16,47435,10000
1131,patient_19,17,7359,10
1132,patient_19,17,11120,25
1133,patient_19,17,27419,10000
1134,patient_19,18,4424,10
1135,patient_19,18,11135,25
1136,patient_19,18,11654,10000
1137,patient_19,19,3892,10
1138,patient_19,19,9089,25
1139,patient_19,19,48703,10000
1140,patient_20,0,4383,10
1141,patient_20,0,9281,25
1142,patient_20,0,30891,10000
1143,patient_20,1,3794,10
1144,patient_20,1,9336,25
1145,patient_20,1,27805,10000
1146,patient_20,2,3311,10
1147,patient_20,2,7729,25
1148,patient_20,2,39957,10000
1149,patient_20,3,9095,10
1150,patient_20,3,13429,25
1151,patient_20,3,22909,10000
1152,patient_20,4,2733,10
1153,patient_20,4,6801,25
1154,patient_20,4,31686,10000
1155,patient_20,5,2881,10
1156,patient_20,5,6511,25
1157,patient_20,5,34908,10000
1158,patient_20,6,4431,10
1159,patient_20,6,12405,25
1160,patient_20,6,32428,10000
1161,patient_20,7,4273,10
1162,patient_20,7,7950,25
1163,patient_20,7,35796,10000
1164,patient_20,8,3739,10
1165,patient_20,8,8458,25
1166,patient_20,8,12871,10000
1167,patient_20,9,4123,10
1168,patient_20,9,7456,25
1169,patient_20,9,42845,10000
1170,patient_20,10,2902,10
1171,patient_20,10,6841,25
1172,patient_20,10,40284,10000
1173,patient_20,11,5062,10
1174,patient_20,11,11130,25
1175,patient_20,11,22199,10000
1176,patient_20,12,5445,10
1177,patient_20,12,11788,25
1178,patient_20,12,12799,10000
1179,patient_20,13,3332,10
1180,patient_20,13,8894,25
1181,patient_20,13,16658,10000
1182,patient_20,14,4984,10
1183,patient_20,14,11238,25
1184,patient_20,14,15493,10000
1185,patient_20,15,1286,10
1186,patient_20,15,1286,25
1187,patient_20,15,1286,10000
1188,patient_20,16,6345,10
1189,patient_20,16,11803,25
1190,patient_20,16,18164,10000
1191,patient_20,17,3577,10
1192,patient_20,17,11058,25
1193,patient_20,17,43892,10000
1194,patient_20,18,4354,10
1195,patient_20,18,9370,25
1196,patient_20,18,37106,10000
1197,patient_20,19,4786,10
1198,patient_20,19,9612,25
1199,patient_20,19,21864,10000
