,patient,question,l_prompt,n_passages
974,patient_17,4,6322,10000
975,patient_17,5,4036,10
976,patient_17,5,4708,25
977,patient_17,5,4708,10000
978,patient_17,6,3954,10
979,patient_17,6,4685,25
980,patient_17,6,4685,10000
981,patient_17,7,6534,10
982,patient_17,7,11850,25
983,patient_17,7,28826,10000
984,patient_17,8,4016,10
985,patient_17,8,4738,25
986,patient_17,8,4738,10000
987,patient_17,9,4102,10
988,patient_17,9,4848,25
989,patient_17,9,4848,10000
990,patient_17,10,3934,10
991,patient_17,10,4693,25
992,patient_17,10,4693,10000
993,patient_17,11,3989,10
994,patient_17,11,4784,25
995,patient_17,11,4784,10000
996,patient_17,12,3910,10
997,patient_17,12,4695,25
998,patient_17,12,4695,10000
999,patient_17,13,3913,10
1000,patient_17,13,7397,25
1001,patient_17,13,23187,10000
1002,patient_17,14,3895,10
1003,patient_17,14,4723,25
1004,patient_17,14,4723,10000
1005,patient_17,15,2833,10
1006,patient_17,15,6273,25
1007,patient_17,15,23106,10000
1008,patient_17,16,3969,10
1009,patient_17,16,7244,25
1010,patient_17,16,23197,10000
1011,patient_17,17,5813,10
1012,patient_17,17,9229,25
1013,patient_17,17,34182,10000
1014,patient_17,18,8181,10
1015,patient_17,18,11889,25
1016,patient_17,18,28944,10000
1017,patient_17,19,3659,10
1018,patient_17,19,11155,25
1019,patient_17,19,27759,10000
1020,patient_18,0,2870,10
1021,patient_18,0,3925,25
1022,patient_18,0,3925,10000
1023,patient_18,1,3520,10
1024,patient_18,1,4252,25
1025,patient_18,1,4252,10000
1026,patient_18,2,4705,10
1027,patient_18,2,7372,25
1028,patient_18,2,7372,10000
1029,patient_18,3,3402,10
1030,patient_18,3,7806,25
1031,patient_18,3,7806,10000
1032,patient_18,4,9121,10
1033,patient_18,4,12222,25
1034,patient_18,4,16206,10000
1035,patient_18,5,3828,10
1036,patient_18,5,4421,25
1037,patient_18,5,4421,10000
1038,patient_18,6,3558,10
1039,patient_18,6,4317,25
1040,patient_18,6,4317,10000
1041,patient_18,7,4528,10
1042,patient_18,7,4885,25
1043,patient_18,7,4885,10000
1044,patient_18,8,4975,10
1045,patient_18,8,7789,25
1046,patient_18,8,7789,10000
1047,patient_18,9,2828,10
1048,patient_18,9,2828,25
1049,patient_18,9,2828,10000
1050,patient_18,10,5524,10
1051,patient_18,10,11853,25
1052,patient_18,10,43013,10000
1053,patient_18,11,2751,10
1054,patient_18,11,2751,25
1055,patient_18,11,2751,10000
1056,patient_18,12,4315,10
1057,patient_18,12,4754,25
1058,patient_18,12,4754,10000
1059,patient_18,13,2942,10
1060,patient_18,13,7298,25
1061,patient_18,13,7298,10000
1062,patient_18,14,6819,10
1063,patient_18,14,8635,25
1064,patient_18,14,8635,10000
1065,patient_18,15,2919,10
1066,patient_18,15,2919,25
1067,patient_18,15,2919,10000
1068,patient_18,16,3268,10
1069,patient_18,16,7770,25
1070,patient_18,16,7770,10000
1071,patient_18,17,8826,10
1072,patient_18,17,9290,25
1073,patient_18,17,9290,10000
1074,patient_18,18,4731,10
1075,patient_18,18,7822,25
1076,patient_18,18,7822,10000
1077,patient_18,19,4818,10
1078,patient_18,19,10066,25
1079,patient_18,19,19230,10000
1080,patient_19,0,3327,10
1081,patient_19,0,6128,25
1082,patient_19,0,6128,10000
1083,patient_19,1,3314,10
1084,patient_19,1,6098,25
1085,patient_19,1,6098,10000
1086,patient_19,2,3220,10
1087,patient_19,2,6026,25
1088,patient_19,2,6026,10000
1089,patient_19,3,3272,10
1090,patient_19,3,6148,25
1091,patient_19,3,6148,10000
1092,patient_19,4,3267,10
1093,patient_19,4,6488,25
1094,patient_19,4,16583,10000
1095,patient_19,5,3311,10
1096,patient_19,5,6163,25
1097,patient_19,5,6163,10000
1098,patient_19,6,3529,10
1099,patient_19,6,7512,25
1100,patient_19,6,7512,10000
1101,patient_19,7,3982,10
1102,patient_19,7,13076,25
1103,patient_19,7,21703,10000
1104,patient_19,8,2669,10
1105,patient_19,8,6013,25
1106,patient_19,8,6013,10000
1107,patient_19,9,3376,10
1108,patient_19,9,11198,25
1109,patient_19,9,16611,10000
1110,patient_19,10,3430,10
1111,patient_19,10,8897,25
1112,patient_19,10,16611,10000
1113,patient_19,11,3887,10
1114,patient_19,11,5735,25
1115,patient_19,11,5735,10000
1116,patient_19,12,3353,10
1117,patient_19,12,8923,25
1118,patient_19,12,16616,10000
1119,patient_19,13,6097,10
1120,patient_19,13,15676,25
1121,patient_19,13,39833,10000
1122,patient_19,14,4245,10
1123,patient_19,14,6081,25
1124,patient_19,14,6081,10000
1125,patient_19,15,9714,10
1126,patient_19,15,15865,25
1127,patient_19,15,39835,10000
1128,patient_19,16,6099,10
1129,patient_19,16,14263,25
1130,patient_19,16,34557,10000
1131,patient_19,17,7056,10
1132,patient_19,17,10882,25
1133,patient_19,17,29517,10000
1134,patient_19,18,3223,10
1135,patient_19,18,11708,25
1136,patient_19,18,13646,10000
1137,patient_19,19,4153,10
1138,patient_19,19,8474,25
1139,patient_19,19,32740,10000
1140,patient_20,0,2664,10
1141,patient_20,0,2664,25
1142,patient_20,0,2664,10000
1143,patient_20,1,3446,10
1144,patient_20,1,7852,25
1145,patient_20,1,19204,10000
1146,patient_20,2,5913,10
1147,patient_20,2,7430,25
1148,patient_20,2,7430,10000
1149,patient_20,3,11019,10
1150,patient_20,3,16164,25
1151,patient_20,3,25895,10000
1152,patient_20,4,3560,10
1153,patient_20,4,8101,25
1154,patient_20,4,19268,10000
1155,patient_20,5,2914,10
1156,patient_20,5,8159,25
1157,patient_20,5,19284,10000
1158,patient_20,6,3412,10
1159,patient_20,6,8031,25
1160,patient_20,6,19236,10000
1161,patient_20,7,2782,10
1162,patient_20,7,2782,25
1163,patient_20,7,2782,10000
1164,patient_20,8,3635,10
1165,patient_20,8,6919,25
1166,patient_20,8,9206,10000
1167,patient_20,9,3638,10
1168,patient_20,9,7154,25
1169,patient_20,9,9234,10000
1170,patient_20,10,2976,10
1171,patient_20,10,7499,25
1172,patient_20,10,19274,10000
1173,patient_20,11,4524,10
1174,patient_20,11,12478,25
1175,patient_20,11,19225,10000
1176,patient_20,12,5803,10
1177,patient_20,12,7436,25
1178,patient_20,12,7436,10000
1179,patient_20,13,3617,10
1180,patient_20,13,6915,25
1181,patient_20,13,9236,10000
1182,patient_20,14,7377,10
1183,patient_20,14,11126,25
1184,patient_20,14,25985,10000
1185,patient_20,15,4156,10
1186,patient_20,15,12259,25
1187,patient_20,15,19263,10000
1188,patient_20,16,9217,10
1189,patient_20,16,12393,25
1190,patient_20,16,19250,10000
1191,patient_20,17,5039,10
1192,patient_20,17,8960,25
1193,patient_20,17,24468,10000
1194,patient_20,18,4406,10
1195,patient_20,18,9395,25
1196,patient_20,18,34969,10000
1197,patient_20,19,3736,10
1198,patient_20,19,7151,25
1199,patient_20,19,9437,10000
